dataset,feature_strategy,model,fold,accuracy,precision,recall,f1,roc_auc
B_StrictDysarthricALSvsHC,Full_214_LASSO,QSVM,10,0.6153846153846154,0.7777777777777778,0.7,0.7368421052631579,0.3333333333333333
B_StrictDysarthricALSvsHC,Full_214_LASSO,QSVM,11,0.6428571428571429,0.8,0.7272727272727273,0.7619047619047619,0.4545454545454546
B_StrictDysarthricALSvsHC,Full_214_LASSO,QSVM,12,0.7857142857142857,0.7692307692307693,1.0,0.8695652173913043,0.625
B_StrictDysarthricALSvsHC,Full_214_LASSO,QSVM,13,0.6428571428571429,0.6923076923076923,0.9,0.782608695652174,0.575
B_StrictDysarthricALSvsHC,Full_214_LASSO,QSVM,14,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,0.875
B_StrictDysarthricALSvsHC,Full_214_LASSO,QSVM,15,0.6923076923076923,0.75,0.9,0.8181818181818182,0.6666666666666666
B_StrictDysarthricALSvsHC,Full_214_LASSO,VQC,1,0.7142857142857143,1.0,0.6363636363636364,0.7777777777777778,0.7878787878787878
B_StrictDysarthricALSvsHC,Full_214_LASSO,VQC,2,0.5,0.7142857142857143,0.5,0.5882352941176471,0.35000000000000003
B_StrictDysarthricALSvsHC,Full_214_LASSO,VQC,3,0.7142857142857143,0.8,0.8,0.8,0.75
B_StrictDysarthricALSvsHC,Full_214_LASSO,VQC,4,0.5,0.8,0.4,0.5333333333333333,0.45
B_StrictDysarthricALSvsHC,Full_214_LASSO,VQC,5,0.6153846153846154,0.7272727272727273,0.8,0.7619047619047619,0.5333333333333333
B_StrictDysarthricALSvsHC,Full_214_LASSO,VQC,6,0.35714285714285715,0.625,0.45454545454545453,0.5263157894736842,0.12121212121212123
B_StrictDysarthricALSvsHC,Full_214_LASSO,VQC,7,0.8571428571428571,0.9,0.9,0.9,0.775
B_StrictDysarthricALSvsHC,Full_214_LASSO,VQC,8,0.7857142857142857,0.8888888888888888,0.8,0.8421052631578947,0.7
B_StrictDysarthricALSvsHC,Full_214_LASSO,VQC,9,0.6428571428571429,1.0,0.5,0.6666666666666666,0.7250000000000001
B_StrictDysarthricALSvsHC,Full_214_LASSO,VQC,10,0.46153846153846156,0.8,0.4,0.5333333333333333,0.45
B_StrictDysarthricALSvsHC,Full_214_LASSO,VQC,11,0.42857142857142855,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.33333333333333337
B_StrictDysarthricALSvsHC,Full_214_LASSO,VQC,12,0.7142857142857143,0.875,0.7,0.7777777777777778,0.625
B_StrictDysarthricALSvsHC,Full_214_LASSO,VQC,13,0.35714285714285715,0.5714285714285714,0.4,0.47058823529411764,0.45
B_StrictDysarthricALSvsHC,Full_214_LASSO,VQC,14,0.5,0.6363636363636364,0.7,0.6666666666666666,0.3625
B_StrictDysarthricALSvsHC,Full_214_LASSO,VQC,15,0.5384615384615384,0.75,0.6,0.6666666666666666,0.5333333333333333
B_StrictDysarthricALSvsHC,Full_214_LASSO,QNN,1,0.5714285714285714,0.8571428571428571,0.5454545454545454,0.6666666666666666,0.5606060606060607
B_StrictDysarthricALSvsHC,Full_214_LASSO,QNN,2,0.5714285714285714,0.7,0.7,0.7,0.475
B_StrictDysarthricALSvsHC,Full_214_LASSO,QNN,3,0.6428571428571429,0.8571428571428571,0.6,0.7058823529411765,0.625
B_StrictDysarthricALSvsHC,Full_214_LASSO,QNN,4,0.7142857142857143,0.875,0.7,0.7777777777777778,0.725
B_StrictDysarthricALSvsHC,Full_214_LASSO,QNN,5,0.6153846153846154,0.7272727272727273,0.8,0.7619047619047619,0.4
B_StrictDysarthricALSvsHC,Full_214_LASSO,QNN,6,0.5714285714285714,0.7777777777777778,0.6363636363636364,0.7,0.48484848484848486
B_StrictDysarthricALSvsHC,Full_214_LASSO,QNN,7,0.6428571428571429,0.7272727272727273,0.8,0.7619047619047619,0.525
B_StrictDysarthricALSvsHC,Full_214_LASSO,QNN,8,0.5714285714285714,0.7,0.7,0.7,0.475
B_StrictDysarthricALSvsHC,Full_214_LASSO,QNN,9,0.42857142857142855,0.6,0.6,0.6,0.3
B_StrictDysarthricALSvsHC,Full_214_LASSO,QNN,10,0.46153846153846156,0.7142857142857143,0.5,0.5882352941176471,0.41666666666666663
B_StrictDysarthricALSvsHC,Full_214_LASSO,QNN,11,0.42857142857142855,0.6666666666666666,0.5454545454545454,0.6,0.2727272727272727
B_StrictDysarthricALSvsHC,Full_214_LASSO,QNN,12,0.42857142857142855,0.6666666666666666,0.4,0.5,0.44999999999999996
B_StrictDysarthricALSvsHC,Full_214_LASSO,QNN,13,0.21428571428571427,0.42857142857142855,0.3,0.35294117647058826,0.15
B_StrictDysarthricALSvsHC,Full_214_LASSO,QNN,14,0.5714285714285714,0.7,0.7,0.7,0.475
B_StrictDysarthricALSvsHC,Full_214_LASSO,QNN,15,0.6153846153846154,0.7272727272727273,0.8,0.7619047619047619,0.4
